"Browser Version","Market Share Perc. (5 Mar 2026)"
"Chrome for Android",40
"Chrome 145.0",16.72
"Safari iPhone",14.24
"Edge 145",5.4
"Chrome for iPhone",2.98
"Firefox 148.0",1.75
"Samsung Internet 29.0",1.75
"Chrome 144.0",1.52
"Safari 26.3",1.29
"Brave 0",1.08
"Opera 127.0",0.77
"Chrome 109.0",0.66
"Safari iPad",0.51
"Chrome 143.0",0.46
"Opera 95.0",0.43
"Edge 144",0.43
"Chrome 131.0",0.43
"Chrome 139.0",0.42
"Chrome iPad",0.34
"Safari 18.6",0.34
"Safari 26.2",0.3
"Opera 98.0",0.29
"Android 0",0.27
"Chrome 138.0",0.27
"360 Safe Browser 0",0.25
"Yandex Browser 25.12",0.25
"Chrome 142.0",0.24
"Firefox 147.0",0.21
"Safari 17.6",0.21
"UC Browser 15.1",0.19
"Firefox 115.0",0.16
"Safari 16.6",0.15
"Chrome 116.0",0.13
"UC Browser 18.5",0.12
"Safari 17.1",0.12
"UC Browser 13.4",0.12
"Firefox 140.0",0.11
"Chrome 133.0",0.11
"Chrome 141.0",0.1
"Edge 143",0.1
"Chrome 146.0",0.1
"QQ Browser 19.9",0.09
"Yandex Browser 26.3",0.09
"Chrome 112.0",0.09
"Chrome 103.0",0.09
"Safari 15.6",0.09
"Safari 18.5",0.08
"Samsung Internet 28.0",0.08
"Safari 18.7",0.08
"Chrome 140.0",0.08
"Chrome 120.0",0.07
"Coc Coc 149.0",0.07
"Opera 97.1",0.06
"Whale 1.0",0.06
"Chrome 124.0",0.06
"Chrome 128.0",0.06
"Chrome 130.0",0.06
"Mozilla 0",0.06
"Chrome 137.0",0.05
"Chrome 108.0",0.05
"Chrome 135.0",0.05
"Safari 26.1",0.05
"Chrome 134.0",0.05
"Coc Coc 150.0",0.05
"Safari 18.3",0.05
"Chrome 117.0",0.05
"Chrome 107.0",0.04
"Safari 17.5",0.04
"Chrome 136.0",0.04
"Chrome 111.0",0.04
"Chrome 106.0",0.04
"Chrome 105.0",0.04
"Chrome 104.0",0.04
"Chrome 110.0",0.04
"Chrome 114.0",0.04
"Edge 142",0.04
"Chrome 126.0",0.04
"Chrome 122.0",0.04
"UC Browser 18.6",0.04
"Edge 109",0.04
"Chrome 132.0",0.03
"Opera 94.0",0.03
"Safari 17.4",0.03
"Samsung Internet 26.0",0.03
"Yandex Browser 24.10",0.03
"Safari 26.0",0.03
"Pale Moon 33.6",0.03
"Sogou Explorer 0",0.03
"Samsung Internet 27.0",0.03
"Opera 126.0",0.03
"Unknown 0",0.03
"Opera 128.0",0.02
"Firefox 146.0",0.02
"Safari 18.1",0.02
"Chrome 125.0",0.02
"QQ Browser 19.8",0.02
"Safari 605.1",0.02
"Safari 14.1",0.02
"Edge 141",0.02
"Edge 138",0.02
"Safari 18.4",0.02
"Chrome 121.0",0.02
"Whale Browser 4.36",0.02
"Edge 120",0.02
"Safari 13.1",0.02
"Edge 140",0.02
"Opera 93.0",0.02
"Firefox 136.0",0.02
"Chrome 119.0",0.02
"Safari 604.1",0.02
"Safari 16.3",0.02
"Edge 131",0.02
"Samsung Internet 29.1",0.02
"Safari 26.4",0.02
"UC Browser 15.0",0.02
"UC Browser 18.4",0.02
"QQ Browser 20.1",0.02
"Edge 139",0.02
"Ecosia 144.0",0.02
"Chrome 127.0",0.01
"Edge 15",0.01
"Opera 96.0",0.01
"Chrome 147.0",0.01
"Firefox 144.0",0.01
"Opera 96.1",0.01
"Edge 137",0.01
"Samsung Internet 25.0",0.01
"Firefox 145.0",0.01
"Chrome 129.0",0.01
"Instabridge 0",0.01
"Firefox 143.0",0.01
"Edge 146",0.01
"Chrome 123.0",0.01
"Safari 17.3",0.01
"Edge 136",0.01
"Safari 18.2",0.01
"Edge 135",0.01
"Safari 16.1",0.01
"Safari 16.5",0.01
"Samsung Internet 24.0",0.01
"Samsung Internet 21.0",0.01
"Firefox 52.0",0.01
"Chrome 79.0",0.01
"Ecosia 11.6",0.01
"Safari 18.0",0.01
"UC Browser 17.1",0.01
"Other",1.18
